year,system_capex_per_kw_res,system_capex_per_kw_com,system_capex_per_kw_ind,system_om_per_kw_res,system_om_per_kw_com,system_om_per_kw_ind,system_variable_om_per_kw_res,system_variable_om_per_kw_com,system_variable_om_per_kw_ind
2014,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2015,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2016,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2017,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2018,3054.318209,2052.102886,2052.102886,22,18,18,0,0,0
2019,2796.245071,1812.523781,1812.523781,21,13,13,0,0,0
2020,2596.806512,1701.054943,1701.054943,19.47604884,12.19657329,12.19657329,0,0,0
2021,2397.367953,1589.586105,1589.586105,17.98025965,11.39734111,11.39734111,0,0,0
2022,2197.929394,1478.117268,1478.117268,16.48447045,10.59810893,10.59810893,0,0,0
2023,1998.490835,1366.64843,1366.64843,14.98868126,9.798876751,9.798876751,0,0,0
2024,1799.052276,1255.179592,1255.179592,13.49289207,8.999644572,8.999644572,0,0,0
2025,1599.613717,1143.710755,1143.710755,11.99710288,8.200412393,8.200412393,0,0,0
2026,1400.175158,1032.241917,1032.241917,10.50131368,7.401180214,7.401180214,0,0,0
2027,1200.736599,920.7730791,920.7730791,9.005524489,6.601948036,6.601948036,0,0,0
2028,1001.298039,809.3042414,809.3042414,7.509735296,5.802715857,5.802715857,0,0,0
2029,801.8594803,697.8354037,697.8354037,6.013946103,5.003483678,5.003483678,0,0,0
2030,602.4209213,586.366566,586.366566,4.518156909,4.204251499,4.204251499,0,0,0
2031,596.2656881,580.0659631,580.0659631,4.471992661,4.159076142,4.159076142,0,0,0
2032,590.110455,573.7653601,573.7653601,4.425828412,4.113900784,4.113900784,0,0,0
2033,583.9552219,567.4647572,567.4647572,4.379664164,4.068725427,4.068725427,0,0,0
2034,577.7999887,561.1641543,561.1641543,4.333499915,4.023550069,4.023550069,0,0,0
2035,571.6447556,554.8635514,554.8635514,4.287335667,3.978374712,3.978374712,0,0,0
2036,565.4895225,548.5629485,548.5629485,4.241171419,3.933199354,3.933199354,0,0,0
2037,559.3342893,542.2623456,542.2623456,4.19500717,3.888023997,3.888023997,0,0,0
2038,553.1790562,535.9617427,535.9617427,4.148842922,3.842848639,3.842848639,0,0,0
2039,547.0238231,529.6611398,529.6611398,4.102678673,3.797673282,3.797673282,0,0,0
2040,540.8685899,523.3605368,523.3605368,4.056514425,3.752497924,3.752497924,0,0,0
2041,534.7133568,517.0599339,517.0599339,4.010350176,3.707322567,3.707322567,0,0,0
2042,528.5581237,510.759331,510.759331,3.964185928,3.662147209,3.662147209,0,0,0
2043,522.4028906,504.4587281,504.4587281,3.918021679,3.616971852,3.616971852,0,0,0
2044,516.2476574,498.1581252,498.1581252,3.871857431,3.571796494,3.571796494,0,0,0
2045,510.0924243,491.8575223,491.8575223,3.825693182,3.526621137,3.526621137,0,0,0
2046,503.9371912,485.5569194,485.5569194,3.779528934,3.481445779,3.481445779,0,0,0
2047,497.781958,479.2563165,479.2563165,3.733364685,3.436270422,3.436270422,0,0,0
2048,491.6267249,472.9557135,472.9557135,3.687200437,3.391095064,3.391095064,0,0,0
2049,485.4714918,466.6551106,466.6551106,3.641036188,3.345919707,3.345919707,0,0,0
2050,479.3162586,460.3545077,460.3545077,3.59487194,3.300744349,3.300744349,0,0,0
